start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,state
1371377565903,1371377566403,0,0,0,0,H2
1371377566403,1371377566903,0,0,0,0,H2
1371377566903,1371377567403,0,0,0,0,H2
1371377567403,1371377567903,0,0,0,0,H2
1371377567903,1371377568403,0,0,0,0,H2
1371377568403,1371377568903,0,0,0,0,H2
1371377568903,1371377569403,0,0,0,0,H2
1371377569403,1371377569903,0,0,0,0,H2
1371377569903,1371377570403,2,0,0,0,H3
1371377570403,1371377570903,3,0,0,0,H3
1371377570903,1371377571403,2,0,0,0,H3
1371377571403,1371377571903,0,0,0,0,H2
1371377571903,1371377572403,0,0,0,0,H2
1371377572403,1371377572903,0,0,0,0,H2
1371377572903,1371377573403,0,0,0,0,H2
1371377573403,1371377573903,0,0,0,0,H2
1371377573903,1371377574403,0,0,0,0,H2
1371377574403,1371377574903,0,0,0,0,H2
1371377574903,1371377575403,0,0,0,0,H2
1371377575403,1371377575903,0,0,0,0,H2
1371377575903,1371377576403,0,0,0,0,H2
1371377576403,1371377576903,0,0,0,0,H2
1371377576903,1371377577403,0,0,0,0,H2
1371377577403,1371377577903,0,0,0,0,H2
1371377577903,1371377578403,0,0,0,0,H2
1371377578403,1371377578903,3,0,0,0,H3
1371377578903,1371377579403,3,0,0,0,H3
1371377579403,1371377579903,5,0,0,0,H3
1371377579903,1371377580403,3,0,0,0,H3
1371377580403,1371377580903,6,0,0,0,H3
1371377580903,1371377581403,0,0,0,0,H2
1371377581403,1371377581903,4,0,0,0,H3
1371377581903,1371377582403,4,0,0,0,H3
1371377582403,1371377582903,5,0,0,0,H3
1371377582903,1371377583403,4,0,0,0,H3
1371377583403,1371377583903,1,0,0,0,H3
1371377583903,1371377584403,0,0,0,0,H2
1371377584403,1371377584903,2,0,0,0,H3
1371377584903,1371377585403,5,0,0,0,H3
1371377585403,1371377585903,0,0,0,0,H2
1371377585903,1371377586403,0,1,0,0,H4
1371377586403,1371377586903,0,5,0,0,H4
1371377586903,1371377587403,0,5,0,0,H4
1371377587403,1371377587903,0,0,0,0,H2
1371377587903,1371377588403,0,0,0,0,H2
1371377588403,1371377588903,0,0,0,0,H2
1371377588903,1371377589403,0,0,0,0,H2
1371377589403,1371377589903,0,1,0,0,H4
1371377589903,1371377590403,0,6,0,0,H4
1371377590403,1371377590903,0,6,0,0,H4
1371377590903,1371377591403,0,6,0,0,H4
1371377591403,1371377591903,0,6,0,0,H4
1371377591903,1371377592403,0,6,0,0,H4
1371377592403,1371377592903,0,6,0,0,H4
1371377592903,1371377593403,0,6,0,0,H4
1371377593403,1371377593903,0,4,0,0,H4
1371377593903,1371377594403,0,3,0,0,H4
1371377594403,1371377594903,0,0,0,0,H2
1371377594903,1371377595403,1,0,0,0,H3
1371377595403,1371377595903,0,0,0,0,H2
1371377595903,1371377596403,6,0,0,0,H3
1371377596403,1371377596903,0,0,0,0,H2
1371377596903,1371377597403,5,0,0,0,H3
1371377597403,1371377597903,0,0,0,0,H2
1371377597903,1371377598403,5,0,0,0,H3
1371377598403,1371377598903,0,0,0,0,H2
1371377598903,1371377599403,0,0,0,0,H2
1371377599403,1371377599903,0,0,0,0,H2
1371377599903,1371377600403,0,0,0,0,H2
1371377600403,1371377600903,0,0,0,0,H2
1371377600903,1371377601403,0,0,0,0,H2
1371377601403,1371377601903,0,0,0,0,H2
1371377601903,1371377602403,0,0,0,0,H2
1371377602403,1371377602903,0,0,0,0,H2
1371377602903,1371377603403,0,0,0,0,H2
1371377603403,1371377603903,0,0,0,0,H2
1371377603903,1371377604403,0,0,0,0,H2
1371377604403,1371377604903,0,0,0,0,H2
1371377604903,1371377605403,0,0,0,0,H2
1371377605403,1371377605903,0,0,0,0,H2
1371377605903,1371377606403,0,0,0,0,H2
1371377606403,1371377606903,0,0,0,0,H2
1371377606903,1371377607403,0,0,0,0,H2
1371377607403,1371377607903,0,0,0,0,H2
1371377607903,1371377608403,0,0,0,0,H2
1371377608403,1371377608903,0,0,0,0,H2
1371377608903,1371377609403,0,0,0,0,H2
1371377609403,1371377609903,0,0,0,0,H2
1371377609903,1371377610403,0,0,0,0,H2
1371377610403,1371377610903,0,0,0,0,H2
1371377610903,1371377611403,0,0,0,0,H2
1371377611403,1371377611903,0,0,0,0,H2
1371377611903,1371377612403,0,0,0,0,H2
1371377612403,1371377612903,0,0,0,0,H2
1371377612903,1371377613403,0,0,0,0,H2
1371377613403,1371377613903,0,0,0,0,H2
1371377613903,1371377614403,0,0,0,0,H2
1371377614403,1371377614903,0,0,0,0,H2
1371377614903,1371377615403,1,0,0,0,H3
1371377615403,1371377615903,0,0,0,0,H2
1371377615903,1371377616403,2,0,0,0,H3
1371377616403,1371377616903,2,0,0,0,H3
1371377616903,1371377617403,3,0,0,0,H3
1371377617403,1371377617903,0,0,0,0,H2
